Time,CG 1 Volt,CG 2 Volt,CG 3 Volt,CG 4 Volt,CG 5 Volt,CG 6 Volt,CG 7 Volt,CG 8 Volt,CG 9 Volt,CG 10 Volt,CG 11 Volt,CG 12 Volt,CG 13 Volt,CG 14 Volt,CG 15 Volt,CG 16 Volt
1403,3.4688,3.4737,3.4775,3.4737,3.4788,3.475,3.48,3.4763,3.4875,3.485,3.4875,3.485,3.4813,3.4825,3.4813,3.4825
1403.2,3.4688,3.4737,3.4775,3.4737,3.48,3.4737,3.48,3.4763,3.4888,3.4825,3.4888,3.485,3.48,3.4825,3.48,3.4825
1403.4,3.4675,3.4737,3.4788,3.4737,3.48,3.4737,3.4788,3.4775,3.4875,3.4863,3.4863,3.485,3.4825,3.4813,3.48,3.4825
1403.6,3.4688,3.4737,3.4775,3.4737,3.48,3.475,3.4788,3.4775,3.4875,3.4838,3.4875,3.4863,3.48,3.4813,3.4813,3.4813
1403.8,3.4688,3.4737,3.4788,3.4737,3.4788,3.475,3.4813,3.475,3.4875,3.4838,3.4875,3.4863,3.4788,3.4838,3.48,3.4825
1404,3.4688,3.4737,3.4788,3.4737,3.4788,3.4737,3.48,3.4763,3.4888,3.4838,3.4863,3.485,3.4788,3.4838,3.48,3.4813
1404.2,3.4688,3.4737,3.4775,3.4737,3.4788,3.475,3.48,3.4775,3.4875,3.4863,3.4863,3.4863,3.4825,3.4825,3.4813,3.4825
1404.4,3.4675,3.4737,3.4775,3.4737,3.4788,3.4737,3.4788,3.4788,3.4888,3.485,3.4875,3.4875,3.48,3.48,3.4813,3.4825
1404.6,3.4688,3.475,3.4775,3.4737,3.4788,3.475,3.4813,3.4763,3.4863,3.4825,3.4875,3.485,3.48,3.4825,3.48,3.4825
1404.8,3.4688,3.4737,3.4788,3.4737,3.4788,3.475,3.4788,3.4763,3.4875,3.485,3.485,3.4863,3.4813,3.48,3.48,3.4825
1405,3.4675,3.4737,3.4788,3.4737,3.4788,3.475,3.4788,3.4788,3.4863,3.4825,3.4888,3.4863,3.48,3.4825,3.4813,3.4825
1405.2,3.4688,3.4737,3.4788,3.4737,3.4788,3.4737,3.4788,3.4788,3.4875,3.4838,3.4888,3.4863,3.48,3.4825,3.4813,3.4825
1405.4,3.4675,3.4737,3.4775,3.4737,3.4788,3.4737,3.4788,3.4775,3.4875,3.485,3.4875,3.4863,3.48,3.48,3.4813,3.4825
1405.6,3.4675,3.4737,3.4775,3.4737,3.48,3.4725,3.4788,3.4775,3.4888,3.485,3.4888,3.4863,3.48,3.48,3.48,3.4825
1405.8,3.4675,3.475,3.4775,3.4737,3.48,3.4737,3.4788,3.4763,3.4875,3.4838,3.4875,3.4863,3.48,3.4813,3.4813,3.4825
1406,3.4688,3.4737,3.4775,3.4737,3.48,3.475,3.48,3.4763,3.4875,3.4825,3.4875,3.485,3.48,3.4825,3.4813,3.4825
1406.2,3.4675,3.475,3.4775,3.4725,3.4788,3.4737,3.48,3.4775,3.4875,3.4838,3.4863,3.485,3.4825,3.4825,3.4788,3.4813
1406.4,3.4675,3.475,3.4775,3.4737,3.4788,3.4737,3.4788,3.4763,3.4875,3.4838,3.4875,3.4863,3.48,3.4825,3.4813,3.4825
1406.6,3.4688,3.4737,3.4775,3.4725,3.4788,3.475,3.4788,3.4775,3.4888,3.4838,3.4863,3.485,3.4813,3.4825,3.4788,3.4813
1406.8,3.4675,3.4737,3.4775,3.4737,3.4788,3.4737,3.48,3.4763,3.4888,3.485,3.4888,3.4875,3.48,3.4813,3.4825,3.4825
1407,3.4675,3.4737,3.4788,3.4725,3.4788,3.4737,3.4788,3.4775,3.4863,3.4838,3.4863,3.485,3.4825,3.4813,3.48,3.4825
1407.2,3.4688,3.4725,3.4775,3.4737,3.4788,3.4737,3.4788,3.4763,3.4863,3.485,3.485,3.485,3.4825,3.4813,3.48,3.4825
1407.4,3.4688,3.4737,3.4775,3.4737,3.4788,3.475,3.4788,3.4763,3.4863,3.4825,3.4875,3.485,3.48,3.4825,3.48,3.4825
